route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
401,4,401,"Ordze - Downtown",,3,,F99D27,FFFFFF
403,4,403,"Ordze - Government Centre",,3,,A0237E,FFFFFF
404,4,404,"Ordze - University Of Alberta",,3,,FDB525,FFFFFF
411,4,411,"Bethel - Downtown",,3,,80FF80,FFFFFF
413,4,413,"Bethel - Government Centre",,3,,0062AC,FFFFFF
414,4,414,"Bethel - University Of Alberta",,3,,F16278,FFFFFF
420,4,420,"Bethel - Millennium Place",,3,,009886,FFFFFF
430,4,430,"Bethel - Emerald Hills",,3,,6BC7B8,FFFFFF
431,4,431,"Bethel - Emerald Hills",,3,,79431B,FFFFFF
432,4,432,"Bethel - Summerwood",,3,,E997C1,FFFFFF
433,4,433,"Bethel - Clarkdale",,3,,7E9BBF,FFFFFF
440,4,440,"Bethel - Heritage Hills",,3,,F04923,FFFFFF
441,4,441,"Bethel - Ordze - Regency",,3,,F8CE3D,FFFFFF
442,4,442,"Bethel - Nottingham",,3,,E11F8F,FFFFFF
443,4,443,"Bethel - Ordze - Glen Allan",,3,,FF80FF,FFFFFF
450,4,450,"Bethel - Centre In The Park",,3,,08C0DE,FFFFFF
451,4,451,"Bethel - Ordze - Woodbridge",,3,,4A2366,FFFFFF
460,4,460,"Cambrian",,3,,FF8080,FFFFFF
500X,1,500X,"Meadows - Macewan",,3,,F37727,000000
501,1,501,"Davies - Capilano",,3,,005087,FFFFFF
502,1,502,"Davies - South Campus",,3,,005087,FFFFFF
503,1,503,"Davies - Millbourne - Woodvale",,3,,005087,FFFFFF
504,1,504,"Meadows - Davies",,3,,005087,FFFFFF
505,1,505,"Davies - Pylypow Industrial",,3,,005087,FFFFFF
506,1,506,"Davies - Meadows - Maple",,3,,005087,FFFFFF
507,1,507,"Tamarack - Southgate",,3,,005087,FFFFFF
508,1,508,"Meadows - Mill Woods",,3,,005087,FFFFFF
509,1,509,"Mill Woods - Millbourne",,3,,005087,FFFFFF
511,1,511,"Mill Woods - Downtown",,3,,005087,FFFFFF
512,1,512,"Mill Woods - South Edmonton Common",,3,,005087,FFFFFF
513,1,513,"Mill Woods - Knottwood",,3,,005087,FFFFFF
514,1,514,"Mill Woods - Millhurst",,3,,005087,FFFFFF
515,1,515,"Mill Woods - Meadows",,3,,005087,FFFFFF
516,1,516,"Mill Woods - Laurel - Meadows",,3,,005087,FFFFFF
517,1,517,"Mill Woods - Southwood",,3,,005087,FFFFFF
518,1,518,"Mill Woods - Century Park",,3,,005087,FFFFFF
519,1,519,"Mill Woods - Century Park",,3,,005087,FFFFFF
521,1,521,"Mill Woods - Century Park",,3,,005087,FFFFFF
523,1,523,"Mill Woods - Downtown",,3,,005087,FFFFFF
